word1	word2	POS	SimLex999	sim10W100S	SimLexRank	w2vRank	Spear_coef	T statistic	freedom_deg	p_value
childish	foolish	A	5.5	0.5876318	589.5	579	0.58015721	22.49053441	997	6.29365E-91
scarce	rare	A	9.17	0.61863	921.5	639	0.579113757	22.42964435	997	1.5634E-90
friendly	generous	A	5.9	0.45850492	634	353	0.577058779	22.31021134	997	9.29293E-90
fragile	frigid	A	2.38	0.45371148	228	348	0.577147936	22.31537978	997	8.60365E-90
long	narrow	A	3.57	0.49043167	359.5	403	0.577296018	22.32396678	997	7.56952E-90
big	heavy	A	6.18	0.42085722	663	305	0.577167345	22.31650512	997	8.46047E-90
rough	frigid	A	2.47	0.36289388	237	241	0.577732138	22.34927583	997	5.18934E-90
bizarre	strange	A	9.37	0.73493594	924	810	0.57773203	22.34926953	997	5.18983E-90
illegal	immoral	A	4.28	0.5176586	443.5	447	0.574093377	22.13898336	997	1.19E-88
bad	guilty	A	4.2	0.3192652	434.5	176	0.573727384	22.11794077	997	1.62719E-88
modern	ancient	A	0.73	0.5859523	72	568	0.574263478	22.14876992	997	1.0288E-88
new	ancient	A	0.23	0.06537656	1.5	33	0.576606173	22.28399202	997	1.37375E-89
dull	funny	A	0.55	0.51213056	49.5	432	0.576066705	22.25278101	997	2.18722E-89
happy	young	A	2	0.4713942	190.5	368	0.577507899	22.33625916	997	6.3015E-90
easy	big	A	1.12	0.3416027	107.5	200	0.577836231	22.35532084	997	4.7418E-90
great	awful	A	1.17	0.090801924	113	39	0.577837683	22.35540518	997	4.73583E-90
tiny	huge	A	0.6	0.5354614	56	475	0.577561457	22.33936741	997	6.016E-90
polite	proper	A	7.63	0.16639128	795	73	0.579295753	22.44025265	997	1.33428E-90
modest	ashamed	A	2.65	0.020585537	253.5	28	0.583665431	22.69648464	997	2.88256E-92
exotic	rare	A	8.05	0.35451818	829.5	218	0.58397282	22.7146212	997	2.19617E-92
dumb	clever	A	1.17	0.38683513	111.5	259	0.586624531	22.87169579	997	2.07732E-93
delightful	wonderful	A	8.65	0.4407434	870.5	319	0.586815703	22.88306308	997	1.75106E-93
noticeable	obvious	A	8.48	0.6490111	861.5	674	0.58842295	22.9788627	997	4.14479E-94
afraid	anxious	A	5.07	0.64762074	517	672	0.586088746	22.83986863	997	3.3512E-93
formal	proper	A	8.02	0.5042626	823.5	410	0.585179792	22.78597848	997	7.52787E-93
dreary	dull	A	8.25	0.6043364	842.5	592	0.58540086	22.79907314	997	6.18433E-93
delightful	cheerful	A	6.58	0.35159048	685	212	0.58376791	22.70252946	997	2.63278E-92
unhappy	mad	A	5.95	0.27774674	625.5	130	0.585456913	22.80239461	997	5.88347E-93
sad	terrible	A	5.4	0.5300681	558.5	459	0.587597398	22.92960405	997	8.69718E-94
sick	crazy	A	3.57	0.36979127	349	236	0.587005359	22.89434593	997	1.47788E-93
violent	angry	A	6.98	0.36587092	713	232	0.587093897	22.89961509	997	1.36532E-93
laden	heavy	A	5.9	0.28444472	616.5	133	0.588788623	23.00071663	997	2.98286E-94
dirty	cheap	A	1.6	0.23535363	147.5	102	0.590857314	23.12475738	997	4.60199E-95
elastic	flexible	A	7.78	0.5736184	800	524	0.590712208	23.11603389	997	5.24895E-95
hard	dense	A	5.9	0.4354976	615	310	0.589723468	23.05668461	997	1.28398E-94
recent	new	A	7.05	0.13118878	716.5	57	0.590152474	23.08241622	997	8.71287E-95
bold	proud	A	3.97	0.113098115	397	46	0.594205207	23.32698909	997	2.17182E-96
sly	strange	A	1.97	0.34710714	180.5	201.5	0.595377168	23.39822303	997	7.39455E-97
strange	sly	A	2.07	0.34710714	187	201	0.595350487	23.39659875	997	7.57854E-97
dumb	rare	A	0.48	0.009177677	38.5	26	0.595323802	23.39497431	997	7.76713E-97
sly	tough	A	0.58	0.31764653	51.5	163	0.594847213	23.36598281	997	1.20431E-96
terrific	mad	A	0.4	0.33290088	20	179	0.594783996	23.36214014	997	1.27638E-96
modest	flexible	A	0.98	0.51247185	88.5	409	0.594833912	23.36517425	997	1.21913E-96
fresh	wide	A	0.4	0.21525529	19.5	91	0.595899193	23.43002703	997	4.5695E-97
huge	dumb	A	0.48	-0.19509923	36	2	0.595580876	23.41062831	997	6.12891E-97
large	flexible	A	0.48	0.32328886	35.5	166	0.595044195	23.37796086	997	1.00473E-96
dirty	narrow	A	0.3	0.06616403	6	30	0.595010959	23.37593939	997	1.03593E-96
wife	husband	N	2.3	0.85069287	194.5	869	0.594471844	23.34317549	997	1.70035E-96
book	text	N	6.35	0.5788551	646.5	522	0.598284182	23.57591909	997	5.01081E-98
groom	bride	N	3.17	0.59472984	293.5	550	0.597299549	23.51557074	997	1.25084E-97
night	day	N	1.88	0.6298859	161.5	615	0.597692788	23.53965257	997	8.68353E-98
south	north	N	2.2	0.9663466	184	884	0.599641662	23.65939235	997	1.41223E-98
plane	airport	N	3.65	0.3517948	344	198	0.60390258	23.92348607	997	2.5485E-100
uncle	aunt	N	5.5	0.83975565	555	863	0.604090599	23.93521333	997	2.1318E-100
horse	mare	N	8.33	0.5890368	823	541	0.602958463	23.8646939	997	6.236E-100
bottom	top	N	0.7	0.6781182	61	684	0.601819272	23.79396373	997	1.8285E-99
friend	buddy	N	8.78	0.5050391	846	392	0.605795515	24.04184163	997	4.1995E-101
student	pupil	N	9.35	0.5692514	873.5	502	0.606474336	24.08444153	997	2.1932E-101
world	globe	N	6.67	0.5452175	666.5	463	0.60589652	24.04817503	997	3.8129E-101
leg	arm	N	2.88	0.7793381	254.5	812	0.605270479	24.0089495	997	6.9331E-101
plane	jet	N	8.1	0.4209829	799	278	0.607770446	24.16601161	997	6.3174E-102
woman	man	N	3.33	0.8089669	303	835	0.609713411	24.28886558	997	9.6722E-103
horse	colt	N	7.07	0.17192078	697.5	70	0.611720079	24.41647922	997	1.3735E-103
actress	actor	N	7.12	0.83278257	703.5	847	0.615656859	24.66903546	997	2.8639E-105
teacher	instructor	N	9.25	0.64753485	863.5	638	0.612990978	24.49769076	997	3.9609E-104
movie	film	N	8.87	0.90750414	846	867	0.610851544	24.36115308	997	3.2024E-103
bird	hawk	N	7.85	0.39616117	779	252	0.606868012	24.10918512	997	1.5037E-101
word	dictionary	N	3.68	0.52292204	344	422	0.609083199	24.24894125	997	1.7803E-102
money	salary	N	7.88	0.5744798	780	505	0.608952049	24.24064197	997	2.021E-102
dog	cat	N	1.75	0.82685506	152.5	840	0.608062368	24.18442572	997	4.7692E-102
area	region	N	9.47	0.790889	862	820	0.61270192	24.47919302	997	5.2582E-104
navy	army	N	6.43	0.7190822	641.5	728	0.608831804	24.23303557	997	2.27E-102
book	literature	N	7.53	0.46142918	744.5	324	0.606758186	24.10227947	997	1.6708E-101
clothes	closet	N	3.27	0.47621456	295	343	0.607775123	24.16630651	997	6.289E-102
sunset	sunrise	N	2.47	0.79853606	212.5	819	0.607742049	24.16422115	997	6.4924E-102
child	adult	N	2.98	0.5495963	262	463	0.611167901	24.38128887	997	2.3534E-103
cow	cattle	N	9.52	0.52654886	857	426	0.611501893	24.40256741	997	1.6994E-103
book	story	N	5.63	0.6847399	562	686	0.61182176	24.42296561	997	1.2437E-103
winter	summer	N	2.38	0.82057303	203.5	828	0.610362708	24.33007569	997	5.1511E-103
taxi	cab	N	9.2	0.6278741	850	597	0.614122636	24.57026092	997	1.3027E-104
tree	maple	N	5.53	0.49957466	547.5	376	0.612218989	24.44832388	997	8.4358E-104
bed	bedroom	N	3.4	0.613535	304.5	569	0.61197845	24.43296481	997	1.0672E-103
roof	ceiling	N	7.58	0.7860418	739	804	0.612396929	24.45969278	997	7.088E-104
disease	infection	N	7.15	0.9010825	696.5	848	0.609203634	24.2565652	997	1.5846E-102
arm	shoulder	N	4.85	0.78638697	460	805	0.606170861	24.06538647	997	2.9328E-101
sheep	lamb	N	8.42	0.7428679	803	756	0.605810214	24.0427632	997	4.1409E-101
lady	gentleman	N	3.42	0.6557083	308.5	637	0.602326337	23.82541819	997	1.1334E-99
boat	anchor	N	2.25	0.68629074	185.5	683	0.603026789	23.86894339	997	5.8456E-100
priest	monk	N	6.28	0.74359256	619.5	756	0.605676051	24.03435316	997	4.7073E-101
toe	finger	N	4.68	0.6990953	432.5	691	0.603475339	23.89686127	997	3.8222E-100
river	stream	N	7.3	0.541544	707	449	0.603068261	23.87152312	997	5.6206E-100
anger	fury	N	8.73	0.66380197	813.5	646	0.602379241	23.82870252	997	1.0782E-99
date	calendar	N	4.42	0.6658005	413.5	650	0.599659554	23.66049467	997	1.3888E-98
sea	ocean	N	8.27	0.79475117	788	801	0.599308554	23.63887965	997	1.92803E-98
second	minute	N	4.62	0.35123217	425	196	0.595348585	23.39648293	997	7.59183E-97
hand	thumb	N	3.88	0.56886935	360	489	0.595866492	23.4280334	997	4.7095E-97
wood	log	N	7.3	0.33978778	703.5	182	0.595642199	23.41436412	997	5.792E-97
mud	dirt	N	7.32	0.7727636	706.5	780	0.598365305	23.58089856	997	4.64636E-98
hallway	corridor	N	9.28	0	833	17.5	0.595106841	23.38177155	997	9.48446E-97
way	manner	N	7.62	0.6363915	729.5	604	0.602919811	23.86229035	997	6.4683E-100
mouse	cat	N	1.12	0.34306645	97	185	0.600672089	23.72296744	997	5.3784E-99
cop	sheriff	N	9.05	0.3026273	823.5	142	0.600693456	23.72428769	997	5.2716E-99
death	burial	N	4.93	0.3557458	467	197	0.60577854	24.04077739	997	4.2682E-101
music	melody	N	6.98	0.6451678	667.5	617	0.606544575	24.08885418	997	2.0505E-101
beer	alcohol	N	7.5	0.61423	718	565	0.604392753	23.95407262	997	1.5996E-100
mouth	lip	N	7.1	0.5888641	680.5	519	0.602487782	23.8354425	997	9.7311E-100
storm	hurricane	N	6.38	0.6705362	621	643	0.601021511	23.74456792	997	3.8738E-99
tax	income	N	2.38	0.72516996	201	715	0.598876522	23.61230384	997	2.8856E-98
flower	violet	N	6.95	0.5991602	663.5	535	0.601756488	23.79007219	997	1.9399E-99
paper	cardboard	N	5.38	0.4943344	517	365	0.600128794	23.68942433	997	8.9515E-99
floor	ceiling	N	1.73	0.7071514	148.5	683	0.599806363	23.66954166	997	1.21059E-98
beach	seashore	N	8.33	0.49539784	777.5	365	0.603259157	23.88340159	997	4.6911E-100
rod	curtain	N	3.03	0.6225279	265.5	573	0.603932383	23.92534456	997	2.4774E-100
hound	fox	N	2.38	0.57160145	199.5	483	0.604767994	23.97751649	997	1.1193E-100
street	alley	N	5.48	0.43954587	527	290	0.605743908	24.03860642	997	4.4118E-101
boat	deck	N	4.28	0.65686214	397	620	0.606023107	24.05611507	997	3.3782E-101
car	horn	N	2.57	0.25616497	214.5	104	0.605663753	24.03358243	997	4.7629E-101
friend	guest	N	4.25	0.4180097	392	266	0.605741637	24.03846404	997	4.4214E-101
employer	employee	N	3.65	0.68049616	326.5	646	0.605789676	24.04147555	997	4.223E-101
hand	wrist	N	3.97	0.46607125	361.5	320	0.606328643	24.07529145	997	2.5217E-101
ball	cannon	N	2.58	0.42265165	216	269	0.606164472	24.06498546	997	2.9508E-101
alcohol	brandy	N	6.98	0.5129377	653	386	0.606213908	24.06808836	997	2.8145E-101
victory	triumph	N	8.98	0.73498243	799	714	0.60598344	24.0536267	997	3.5088E-101
telephone	booth	N	3.63	0.39009148	321	235	0.602213304	23.81840256	997	1.261E-99
door	doorway	N	5.4	0.5981772	509	522	0.602257194	23.82112642	997	1.2098E-99
motel	inn	N	8.17	0.49685764	753	360	0.60108559	23.74853142	997	3.6474E-99
clothes	cloth	N	5.47	0.74195313	515.5	716	0.601665344	23.78442412	997	2.1138E-99
steak	meat	N	7.47	0.6561408	693.5	611	0.600083232	23.68661365	997	9.3418E-99
nail	thumb	N	3.55	0.61274415	310.5	546	0.597562308	23.53165904	997	9.80199E-98
band	orchestra	N	7.08	0.5563603	659.5	456	0.59778003	23.54499881	997	8.00759E-98
book	bible	N	5	0.43082651	462	278	0.5967337	23.48096459	997	2.11298E-97
business	industry	N	7.02	0.6256608	648	564	0.596867769	23.48915901	997	1.86633E-97
winter	season	N	6.27	0.5394745	593.5	427	0.594825555	23.36466622	997	1.22853E-96
decade	century	N	3.48	0.3934099	305	241	0.593989545	23.31390581	997	2.64679E-96
alcohol	gin	N	8.65	0.44161382	769	285	0.593995691	23.31427852	997	2.63192E-96
hat	coat	N	2.67	0.6785045	228	629	0.595979158	23.43490291	997	4.24437E-97
window	door	N	3.33	0.8306242	288.5	776	0.597707537	23.5405563	997	8.56539E-98
arm	wrist	N	3.57	0.7114217	311.5	665	0.59977044	23.66732759	997	1.25197E-98
house	apartment	N	5.8	0.6805504	545.5	631	0.600588813	23.71782263	997	5.8155E-99
glass	crystal	N	6.27	0.6572635	588	605	0.598700524	23.60148677	997	3.40017E-98
wine	brandy	N	5.15	0.72437364	478	683	0.596584489	23.47184822	997	2.42583E-97
creator	maker	N	9.62	0.4661352	793	316	0.595265291	23.39141296	997	8.19714E-97
dinner	breakfast	N	3.33	0.59128004	288	504	0.596881603	23.49000473	997	1.84257E-97
arm	muscle	N	3.72	0.3537675	323	193	0.597139132	23.50575442	997	1.45144E-97
bubble	suds	N	8.57	0	758	17	0.597334528	23.51771177	997	1.21091E-97
bread	flour	N	3.33	0.777986	287.5	736	0.605046714	23.99494629	997	8.5822E-101
death	tragedy	N	5.8	0.409175	541	250	0.606851725	24.10816091	997	1.5274E-101
absence	presence	N	0.4	0.681711	18	626	0.607616209	24.15628874	997	7.3281E-102
gun	cannon	N	5.68	0.80257714	528	752	0.613257762	24.51477705	997	3.0487E-104
grass	blade	N	4.57	0.6711894	401	614	0.611383993	24.39505368	997	1.9065E-103
ball	basket	N	1.67	0.73041815	142.5	684	0.610851832	24.36117137	997	3.2015E-103
hose	garden	N	1.67	0.26875088	142	107	0.614982013	24.62553299	997	5.582E-105
boy	kid	N	7.5	0.68105394	676.5	623	0.61486818	24.61820356	997	6.2461E-105
church	choir	N	2.95	0.42403817	245.5	264	0.612055662	24.43789379	997	9.8963E-104
clothes	drawer	N	3.02	0.43029383	254	270	0.612044161	24.43715957	997	1.0008E-103
tower	bell	N	1.9	0.5063369	157.5	365	0.612020762	24.43566573	997	1.024E-103
father	parent	N	7.07	0.31088868	635	149	0.612735636	24.4813498	997	5.0874E-104
school	grade	N	4.42	0.5728045	386	463	0.615858488	24.68204999	997	2.3455E-105
parent	adult	N	5.37	0.34712726	486.5	185	0.615304602	24.6463171	997	4.0582E-105
bar	jail	N	1.9	0.2759835	157	114	0.616441308	24.71971322	997	1.3158E-105
car	highway	N	3.4	0.40991879	285	247	0.616365059	24.71478212	997	1.4192E-105
dictionary	definition	N	6.25	0.50519204	569.5	357	0.616337002	24.71296791	997	1.4593E-105
door	cellar	N	1.97	0.57580656	162	465	0.616068503	24.69561412	997	1.9047E-105
army	legion	N	5.95	0.6431446	542	573	0.617468508	24.78625295	997	4.7362E-106
metal	aluminum	N	7.25	0.6747991	642.5	605	0.615687453	24.67100973	997	2.7785E-105
chair	bench	N	6.67	0.51722383	599	375	0.613105169	24.50500253	997	3.5412E-104
cloud	fog	N	6	0.60679746	546.5	513	0.612698877	24.47899841	997	5.2739E-104
boy	son	N	6.75	0.5150322	605.5	370	0.611133203	24.37907946	997	2.4343E-103
water	ice	N	6.47	0.54189914	581.5	414	0.610794367	24.35751575	997	3.3857E-103
bed	blanket	N	3.02	0.40102094	250.5	240	0.609929455	24.302569	997	7.8442E-103
attorney	lawyer	N	9.35	0.7803021	764	715	0.609910755	24.30138252	997	7.9878E-103
area	zone	N	8.33	0.6163863	723	525	0.605465717	24.02117486	997	5.7545E-101
business	company	N	9.02	0.67132354	753	596	0.603309848	23.88655696	997	4.4712E-100
clothes	fabric	N	5.87	0.4498209	532.5	285	0.600143119	23.69030809	997	8.8321E-99
sweater	jacket	N	7.15	0.38259178	628	221	0.600468882	23.71041539	997	6.5081E-99
money	capital	N	6.67	0.32480308	594.5	160	0.602437894	23.83234443	997	1.0201E-99
hand	foot	N	4.17	0.5512011	361.5	420	0.605109189	23.99885508	997	8.086E-101
alcohol	cocktail	N	6.73	0.20634075	596	82	0.60461484	23.96794485	997	1.2949E-100
yard	inch	N	3.78	0.53020877	323	393	0.608766607	24.22891251	997	2.4176E-102
molecule	atom	N	6.45	0.8852527	575	752	0.608480353	24.21081885	997	3.1872E-102
lens	camera	N	4.28	0.722142	370.5	644	0.605490796	24.02274574	997	5.6184E-101
meal	dinner	N	7.15	0.5304242	621.5	393	0.60524119	24.00711606	997	7.1295E-101
eye	tear	N	3.55	0.52351755	295	380	0.604610903	23.9676989	997	1.2998E-100
god	devil	N	1.8	0.6772323	152	592	0.604451766	23.95775789	997	1.5123E-100
loop	belt	N	3.1	0.58397585	257	463	0.607396412	24.14244062	997	9.0528E-102
rat	mouse	N	7.78	0.3065155	673.5	143	0.607761435	24.16544342	997	6.3724E-102
motor	engine	N	8.65	0.6315015	720.5	537	0.61195311	24.43134741	997	1.0939E-103
car	cab	N	7.42	0.60484564	638.5	497	0.609519924	24.27660026	997	1.1666E-102
cat	lion	N	6.75	0.65688175	593	569	0.607618813	24.15645284	997	7.3098E-102
size	magnitude	N	6.33	0.6424906	564.5	553	0.605149166	24.00135663	997	7.7836E-101
reality	fantasy	N	1.03	0.37867048	86	216	0.602920887	23.86235725	997	6.4617E-100
door	gate	N	5.25	0.7679382	465	686	0.603219366	23.88092511	997	4.8713E-100
cat	pet	N	5.95	0.57520944	531.5	450	0.601582124	23.77926833	997	2.2862E-99
tin	aluminum	N	6.42	0.72815084	565	641	0.600209289	23.69439085	997	8.3012E-99
bone	jaw	N	4.17	0.7243209	356	636	0.597369402	23.51984658	997	1.17236E-97
cereal	wheat	N	3.75	0.8451218	315.5	725	0.597196993	23.50929453	997	1.37563E-97
house	key	N	1.9	-0.14845224	154.5	3	0.598396567	23.58281777	997	4.51308E-98
blood	flesh	N	4.28	0.6778002	363	583	0.59848115	23.58801125	997	4.17125E-98
door	corridor	N	3.73	0.35263908	311	183	0.598021187	23.55978386	997	6.39969E-98
god	spirit	N	7.3	0.6836401	620	588	0.598250356	23.57384316	997	5.17105E-98
capability	competence	N	7.62	0.2705026	641	106	0.595212157	23.38817936	997	8.60816E-97
abundance	plenty	N	8.97	0.2892097	723	120	0.599925907	23.67691125	997	1.08244E-98
sofa	chair	N	6.67	0.007098282	577	20	0.605852608	24.04542132	997	3.9764E-101
wall	brick	N	4.68	0.67629766	385	577	0.611516061	24.40347054	997	1.6761E-103
horn	drum	N	2.68	0.8068122	219	699	0.610736565	24.35383935	997	3.5815E-103
organ	liver	N	6.15	0.35635874	541	182	0.613915809	24.55697957	997	1.5968E-104
strength	might	N	7.07	0.16418055	597.5	60	0.615893657	24.68432083	997	2.2652E-105
phrase	word	N	5.48	0.8259016	479.5	706	0.621172194	25.02788139	997	1.1526E-107
band	parade	N	3.92	0.24204417	327	92	0.619262177	24.90293512	997	7.8813E-107
stomach	waist	N	5.9	0.44324887	517.5	263	0.620297241	24.97055561	997	2.7852E-107
cloud	storm	N	5.6	0.47538307	490.5	299	0.620891934	25.00950262	997	1.5295E-107
joy	pride	N	5	0.5483224	427.5	400	0.620903127	25.01023628	997	1.5123E-107
noise	rattle	N	6.17	0.27751327	537	110	0.620047352	24.95421109	997	3.5816E-107
rain	mist	N	5.97	0.6501562	520.5	547	0.623373623	25.1727923	997	1.2364E-108
beer	beverage	N	5.42	0.834707	470	703	0.621261994	25.03377357	997	1.0526E-107
man	uncle	N	3.92	0.3582064	326.5	185	0.619408425	24.91247666	997	6.8057E-107
apple	juice	N	2.88	0.56303704	233	423	0.61972762	24.93331628	997	4.9393E-107
intelligence	logic	N	6.5	0.3374761	552.5	163	0.620134007	24.95987752	997	3.2825E-107
communication	language	N	7.47	0.37549326	614	199	0.622720908	25.12972536	997	2.4012E-108
mink	fur	N	6.83	0	571.5	15.5	0.625446942	25.31016525	997	1.4858E-109
mob	crowd	N	7.85	0.65813863	645.5	549	0.631629837	25.72510602	997	2.4325E-112
shore	coast	N	8.83	0.85584724	698.5	702	0.628830514	25.53624905	997	4.5206E-111
wire	cord	N	7.62	0.57258075	622.5	427	0.623913945	25.20850854	997	7.1289E-109
bird	turkey	N	6.58	0.48510554	557.5	306	0.62266655	25.12614258	997	2.5375E-108
bed	crib	N	7.3	0.38737234	601.5	209	0.622972167	25.14629357	997	1.8601E-108
competence	ability	N	7.5	0.41725585	614	235	0.625498601	25.31359922	997	1.4091E-109
cloud	haze	N	7.32	0.52540886	603	363	0.627688808	25.45969697	997	1.476E-110
supper	meal	N	7.53	0.639904	615	527	0.627420785	25.44176517	997	1.9472E-110
bar	cage	N	2.8	0.42693815	228	242	0.624811111	25.26794362	997	2.8504E-109
water	salt	N	1.3	0.7502775	112.5	634	0.624776157	25.26562492	997	2.9542E-109
sense	intuition	N	7.68	0.48652118	623.5	306	0.629855692	25.60522068	997	1.5557E-111
situation	condition	N	6.58	0.6057066	555	471	0.630780686	25.66764248	997	5.9213E-112
crime	theft	N	7.53	0.58420205	611.5	437	0.628922423	25.54242352	997	4.109E-111
style	fashion	N	8.5	0.69602466	672	569	0.627493622	25.4466368	997	1.8061E-110
boundary	border	N	9.08	0.71286786	695	588	0.624044244	25.21713038	997	6.2414E-109
arm	body	N	4.05	0.56267947	336	413	0.620155624	24.96129131	997	3.2119E-107
boat	car	N	2.37	0.6287041	186.5	503	0.619513499	24.91933453	997	6.1244E-107
sandwich	lunch	N	6.3	0.33435032	537.5	156	0.62114078	25.0258206	997	1.1897E-107
bride	princess	N	2.8	0.5769572	225.5	426	0.624111501	25.2215821	997	5.8273E-109
heroine	hero	N	8.78	0.68262684	678.5	553	0.624553701	25.25087406	997	3.7091E-109
car	gauge	N	1.13	0.18981332	96.5	70	0.621167445	25.02756988	997	1.1581E-107
insect	bee	N	6.07	0.5912789	518.5	444	0.620942403	25.01281108	997	1.4535E-107
