word1,word2,POS,SimLex999,conc(w1),conc(w2),concQ,Assoc(USF),SimAssoc333,SD(SimLex),sim2W100S,sim10W100S,sim2W1000S,sim10W1000S
nice,generous,A,5,2.18,2.25,1,0.77,1,1.14,0.5407508,0.24954525,0.52605605,0.2359302
weird,normal,A,0.72,1.59,1.4,1,0.76,1,1.15,0.18718372,-0.06181418,0.18808308,0.015818235
weird,odd,A,9.2,1.59,1.7,1,0.75,1,1.27,0.33221802,0.15989695,0.3623373,0.23253733
bad,immoral,A,7.62,1.68,1.59,1,0.74,1,0.98,0.43832913,0.48110324,0.51898474,0.5229923
sad,funny,A,0.95,3.07,2.5,2,0.74,1,1.28,0.7740443,0.6684304,0.8173734,0.64829385
wonderful,great,A,8.05,1.82,1.81,1,0.7,1,1.05,0.30527574,0.31623322,0.3320191,0.33019143
guilty,ashamed,A,6.38,2.36,1.74,1,0.69,1,0.47,0.50429016,0.2124725,0.50223523,0.26223004
beautiful,wonderful,A,6.5,2.16,1.82,1,0.68,1,0.85,0.62406987,0.6120274,0.64864683,0.6253206
confident,sure,A,8.27,2.62,1.73,1,0.68,1,1.21,0.59333956,0.49410227,0.5827754,0.48212212
dumb,dense,A,7.27,2.36,3.14,2,0.68,1,0.43,0.26624855,-0.053511716,0.23223338,0.10905783
large,big,A,9.55,3.37,3.66,2,0.68,1,0.44,0.5438754,0.42746866,0.53825986,0.4164703
nice,cruel,A,0.67,2.18,2.11,1,0.49,1,1.53,0.5190397,0.25316274,0.5428079,0.18198328
impatient,anxious,A,6.03,2.38,1.68,1,0.47,1,1.22,0.50337386,0.4846298,0.4433456,0.42439422
big,broad,A,6.73,3.66,2.45,2,0.47,1,1.68,0.42310515,0.32982686,0.43618783,0.2524341
strong,proud,A,3.17,3.14,2.07,2,0.42,0,1.46,0.37524596,0.16623336,0.34704074,0.20717613
unnecessary,necessary,A,0.63,1.56,1.8,1,0.41,0,0.61,0.77369785,0.67884415,0.7137088,0.65996635
restless,young,A,1.6,2.46,3.16,2,0.41,0,0.85,0.35957202,0.38384828,0.2884686,0.3274831
dumb,intelligent,A,0.75,2.36,2.46,1,0.37,0,1.5,0.34501308,0.14687887,0.27451625,0.15828253
bad,great,A,0.35,1.68,1.81,1,0.35,0,1.49,0.41263846,0.35851097,0.423122,0.3151047
difficult,simple,A,0.87,2.21,1.62,1,0.34,0,0.44,0.5043294,0.48086149,0.4867648,0.46703368
necessary,important,A,7.37,1.8,2.14,1,0.34,0,1.36,0.5134545,0.4132075,0.51080513,0.37202087
bad,terrific,A,0.65,1.68,2.07,1,0.28,0,1.43,0.31348747,0.23232554,0.3180818,0.19730948
mad,glad,A,1.45,2.76,2.36,1,0.28,0,1.17,0.47895962,0.42711127,0.35085338,0.39512724
honest,guilty,A,1.18,1.66,2.36,1,0.27,0,1.68,0.38350913,0.33800662,0.38871726,0.32561365
easy,tough,A,0.52,2.07,2.5,1,0.27,0,1.87,0.5561313,0.4417296,0.50091547,0.39818543
easy,flexible,A,4.1,2.07,2.64,1,0.27,0,1.08,0.52559155,0.53991145,0.5163328,0.53110695
certain,sure,A,8.42,1.68,1.73,1,0.23,0,1.29,0.24520327,0.17603971,0.28920418,0.14891185
essential,necessary,A,8.97,1.52,1.8,1,0.21,0,1.11,0.7118141,0.6666343,0.70221746,0.65260535
different,normal,A,1.08,1.97,1.4,1,0.21,0,1.75,0.4905108,0.41258428,0.4267216,0.40505943
sly,clever,A,7.25,2.03,1.79,1,0.21,0,1.41,0.4376269,0.37448123,0.5108523,0.39679426
crucial,important,A,8.82,2.08,2.14,1,0.21,0,1.25,0.74464333,0.6221236,0.7225511,0.5876812
harsh,cruel,A,8.18,2.23,2.11,1,0.21,0,1.66,0.57213104,0.4962702,0.5843682,0.4892094
childish,foolish,A,5.5,2.52,1.84,1,0.21,0,1.45,0.6451371,0.5876318,0.6552573,0.56639975
scarce,rare,A,9.17,2.57,1.96,1,0.21,0,1.21,0.65626335,0.61863,0.66059184,0.62048805
friendly,generous,A,5.9,2.32,2.25,1,0.21,0,0.6,0.63557684,0.45850492,0.673873,0.44642666
fragile,frigid,A,2.38,2.86,3.28,2,0.21,0,0.84,0.6227571,0.45371148,0.5597832,0.36329117
long,narrow,A,3.57,3.18,3.04,2,0.21,0,1.62,0.49397725,0.49043167,0.47476465,0.45244423
big,heavy,A,6.18,3.66,3.37,2,0.21,0,1.54,0.48238778,0.42085722,0.4903911,0.4039192
rough,frigid,A,2.47,3.83,3.28,2,0.21,0,1.37,0.47771895,0.36289388,0.35868838,0.28505877
bizarre,strange,A,9.37,1.79,1.86,1,0.2,0,1.54,0.8049778,0.73493594,0.78705806,0.6492512
illegal,immoral,A,4.28,2.37,1.59,1,0.2,0,1.57,0.56650543,0.5176586,0.49583983,0.50575215
bad,guilty,A,4.2,1.68,2.36,1,0.2,0,1.47,0.41902107,0.3192652,0.37917978,0.36003447
modern,ancient,A,0.73,2.31,2.04,1,0.2,0,0.71,0.5648579,0.5859523,0.5282858,0.56045896
new,ancient,A,0.23,2.81,2.04,1,0.2,0,0.46,0.22228494,0.06537656,0.17016557,0.04046754
dull,funny,A,0.55,2.37,2.5,1,0.2,0,1.76,0.5787856,0.51213056,0.59124213,0.57927734
happy,young,A,2,2.56,3.16,2,0.2,0,0.47,0.43053448,0.4713942,0.40936202,0.41876096
easy,big,A,1.12,2.07,3.66,2,0.2,0,1.22,0.36535072,0.3416027,0.37413526,0.35780644
great,awful,A,1.17,1.81,1.92,1,0.15,0,1.53,0.13059497,0.090801924,0.16022721,0.03969076
tiny,huge,A,0.6,3.11,3.54,2,0.15,0,0.59,0.62649816,0.5354614,0.5845657,0.5038231
polite,proper,A,7.63,1.85,1.78,1,0.14,0,1.42,0.36908567,0.16639128,0.35798216,0.19201355
modest,ashamed,A,2.65,2.21,1.74,1,0.14,0,1,0.1459763,0.020585537,0.26317635,0.08055968
exotic,rare,A,8.05,2.11,1.96,1,0.14,0,0.93,0.49783948,0.35451818,0.47515678,0.42081365
dumb,clever,A,1.17,2.36,1.79,1,0.14,0,1.3,0.48294616,0.38683513,0.4159966,0.23615386
delightful,wonderful,A,8.65,2.38,1.82,1,0.14,0,1.29,0.60848343,0.4407434,0.5280791,0.3446917
noticeable,obvious,A,8.48,2.29,2.07,1,0.14,0,1.69,0.74927443,0.6490111,0.72995013,0.6152738
afraid,anxious,A,5.07,2.7,1.68,1,0.14,0,1.28,0.68409395,0.64762074,0.69383603,0.70289665
formal,proper,A,8.02,2.7,1.78,1,0.14,0,1.31,0.62916833,0.5042626,0.58499825,0.5126539
dreary,dull,A,8.25,2.33,2.37,1,0.14,0,1.85,0.6921938,0.6043364,0.607507,0.58452344
delightful,cheerful,A,6.58,2.38,2.34,1,0.14,0,1.56,0.53587675,0.35159048,0.5470019,0.25304124
unhappy,mad,A,5.95,2.04,2.76,1,0.14,0,1.36,0.3720287,0.27774674,0.3145061,0.1596454
sad,terrible,A,5.4,3.07,2.04,1,0.14,0,0.44,0.6085557,0.5300681,0.6248036,0.56666064
sick,crazy,A,3.57,2.97,2.37,2,0.14,0,0.95,0.61825675,0.36979127,0.51498115,0.40472615
violent,angry,A,6.98,3.1,2.53,2,0.14,0,1.55,0.43348417,0.36587092,0.38376597,0.36376345
laden,heavy,A,5.9,2.96,3.37,2,0.14,0,1.28,0.32739818,0.28444472,0.3451588,0.26382124
dirty,cheap,A,1.6,4.23,2.11,2,0.14,0,1.1,0.37213913,0.23535363,0.37986603,0.22372249
elastic,flexible,A,7.78,3.73,2.64,2,0.14,0,1.09,0.67239827,0.5736184,0.6526995,0.59125274
hard,dense,A,5.9,3.76,3.14,2,0.14,0,1,0.41931963,0.4354976,0.41198468,0.39455873
recent,new,A,7.05,2.5,2.81,2,0.13,0,1.05,0.21900524,0.13118878,0.19691813,0.08064297
bold,proud,A,3.97,2.43,2.07,1,0.12,0,1.36,0.3527598,0.113098115,0.33750784,0.16743954
sly,strange,A,1.97,2.03,1.86,1,0,0,1.07,0.3624303,0.34710714,0.46026522,0.3103507
strange,sly,A,2.07,1.86,2.03,1,0,0,0.51,0.3624303,0.34710714,0.46026522,0.3103507
dumb,rare,A,0.48,2.36,1.96,1,0,0,1.55,0.19021533,0.009177677,0.13950144,0.0071935877
sly,tough,A,0.58,2.03,2.5,1,0,0,1.01,0.33100027,0.31764653,0.45113772,0.35111764
terrific,mad,A,0.4,2.07,2.76,1,0,0,0.86,0.42475355,0.33290088,0.38156638,0.29654768
modest,flexible,A,0.98,2.21,2.64,1,0,0,1.89,0.5898968,0.51247185,0.5743185,0.48176005
fresh,wide,A,0.4,1.97,3.06,1,0,0,1.41,0.42341357,0.21525529,0.37666994,0.19487382
huge,dumb,A,0.48,3.54,2.36,2,0,0,0.91,0.15638262,-0.19509923,0.15043786,-0.1247472
large,flexible,A,0.48,3.37,2.64,2,0,0,1.59,0.3486645,0.32328886,0.33626837,0.2697526
dirty,narrow,A,0.3,4.23,3.04,2,0,0,0.89,0.2816301,0.06616403,0.26549676,0.061288297
wife,husband,N,2.3,4.13,4.11,3,8.85,1,0.84,0.8564642,0.85069287,0.7960158,0.7989744
book,text,N,6.35,4.9,4.93,4,8.81,1,1.43,0.5984551,0.5788551,0.5649046,0.5421542
groom,bride,N,3.17,4.54,4.63,3,8.65,1,0.68,0.5272352,0.59472984,0.43928844,0.5774038
night,day,N,1.88,4.52,3.92,3,8.19,1,1.17,0.6905937,0.6298859,0.6414929,0.62679356
south,north,N,2.2,3.84,4.14,3,7.72,1,0.59,0.97258127,0.9663466,0.9583782,0.9599197
plane,airport,N,3.65,4.92,4.87,4,7.57,1,1.07,0.32555956,0.3517948,0.30670875,0.3673785
uncle,aunt,N,5.5,4.24,4.17,3,7.46,1,1.63,0.90038395,0.83975565,0.90609694,0.8371421
horse,mare,N,8.33,5,4.75,4,7.4,1,0.73,0.5850297,0.5890368,0.56876385,0.6300282
bottom,top,N,0.7,4.25,3.93,3,6.96,1,1.16,0.6629469,0.6781182,0.6609857,0.65697104
friend,buddy,N,8.78,3.07,3.48,2,6.87,1,0.93,0.3738859,0.5050391,0.29636604,0.4265526
student,pupil,N,9.35,4.92,4.55,3,6.83,1,1.11,0.5474969,0.5692514,0.5753966,0.5940487
world,globe,N,6.67,4.36,4.59,3,6.79,1,0.67,0.45926937,0.5452175,0.46304846,0.47954425
leg,arm,N,2.88,4.83,4.96,4,6.73,1,0.79,0.7645551,0.7793381,0.7622776,0.74778354
plane,jet,N,8.1,4.92,4.77,4,6.62,1,1.24,0.43205777,0.4209829,0.40697142,0.44071218
woman,man,N,3.33,4.46,4.79,3,6.6,1,1.42,0.8960997,0.8089669,0.8567246,0.77291125
horse,colt,N,7.07,5,4.96,4,6.54,1,0.84,0.14284547,0.17192078,0.060464766,0.29662806
actress,actor,N,7.12,4.54,4.57,3,5.78,1,1.3,0.7927542,0.83278257,0.79961246,0.8198699
teacher,instructor,N,9.25,4.52,4.26,3,5.66,1,1.53,0.5912465,0.64753485,0.57643384,0.6378641
movie,film,N,8.87,4.59,4.71,3,5.43,1,1.72,0.88939154,0.90750414,0.8515117,0.87005544
bird,hawk,N,7.85,5,4.93,4,5.29,1,0.91,0.3704965,0.39616117,0.36592042,0.4272927
word,dictionary,N,3.68,3.56,4.62,3,5.2,1,1.56,0.49614617,0.52292204,0.47423708,0.4818512
money,salary,N,7.88,4.54,3.69,3,5.16,1,1.11,0.45477256,0.5744798,0.4493851,0.5261142
dog,cat,N,1.75,4.85,4.86,4,5.13,1,1.3,0.86042076,0.82685506,0.86082065,0.82670224
area,region,N,9.47,3.72,3.19,2,5.12,1,0.58,0.8004881,0.790889,0.75281674,0.7577137
navy,army,N,6.43,3.93,4.7,3,5,1,0.53,0.749231,0.7190822,0.7370049,0.69571614
book,literature,N,7.53,4.9,4.1,3,4.86,1,0.45,0.49204066,0.46142918,0.4600064,0.45637766
clothes,closet,N,3.27,4.76,4.83,4,4.83,1,1.29,0.5930041,0.47621456,0.5172534,0.5124952
sunset,sunrise,N,2.47,4.54,4.69,3,4.8,1,1.12,0.8245575,0.79853606,0.8610009,0.8309349
child,adult,N,2.98,4.78,4.4,3,4.59,1,1.48,0.5576601,0.5495963,0.5067801,0.57315737
cow,cattle,N,9.52,4.96,4.64,4,4.39,1,0.79,0.38302857,0.52654886,0.378463,0.48804384
book,story,N,5.63,4.9,3.3,3,4.19,1,0.78,0.7087915,0.6847399,0.67029065,0.6588793
winter,summer,N,2.38,3.84,3.64,3,3.96,1,0.47,0.81029403,0.82057303,0.8009528,0.7874597
taxi,cab,N,9.2,4.93,4.88,4,3.86,1,1.23,0.7287454,0.6278741,0.6467594,0.5239362
tree,maple,N,5.53,5,4.46,3,3.67,1,1.19,0.4257515,0.49957466,0.4051362,0.46810588
bed,bedroom,N,3.4,5,4.9,4,3.53,1,1.25,0.6258659,0.613535,0.6131896,0.59521794
roof,ceiling,N,7.58,4.79,4.85,4,3.5,1,0.77,0.77279377,0.7860418,0.74054784,0.72893906
disease,infection,N,7.15,3.45,4.1,3,3.45,1,1.08,0.84329104,0.9010825,0.8144103,0.87265927
arm,shoulder,N,4.85,4.96,4.93,4,3.35,1,1.81,0.77866393,0.78638697,0.76662034,0.74796486
sheep,lamb,N,8.42,4.9,4.97,4,3.33,1,1.51,0.7661642,0.7428679,0.73266435,0.7657269
lady,gentleman,N,3.42,4.33,3.57,3,3.29,1,1.08,0.5193533,0.6557083,0.54926896,0.64452726
boat,anchor,N,2.25,4.93,4.77,4,3.25,1,1.1,0.600452,0.68629074,0.58506453,0.6845885
priest,monk,N,6.28,4.77,4.35,3,3.23,1,0.61,0.72614056,0.74359256,0.7307219,0.7444898
toe,finger,N,4.68,4.93,5,4,3.22,1,0.55,0.77961123,0.6990953,0.7259255,0.74876314
river,stream,N,7.3,4.89,4.5,3,3.21,1,0.81,0.5129331,0.541544,0.50685215,0.5453892
anger,fury,N,8.73,2.41,2.89,2,3.06,1,1.89,0.71159357,0.66380197,0.6827342,0.6460962
date,calendar,N,4.42,3.9,4.62,3,3.05,1,1.5,0.5722071,0.6658005,0.5268463,0.64751375
sea,ocean,N,8.27,4.79,4.86,4,2.91,1,1.3,0.7729747,0.79475117,0.75845283,0.7955916
second,minute,N,4.62,3.3,3.04,2,2.84,1,1.15,0.27529994,0.35123217,0.27738744,0.29040343
hand,thumb,N,3.88,4.72,4.96,4,2.84,1,0.44,0.5358027,0.56886935,0.4723353,0.5527153
wood,log,N,7.3,4.85,4.96,4,2.79,1,0.87,0.34655842,0.33978778,0.37916905,0.2795807
mud,dirt,N,7.32,4.86,4.86,4,2.76,1,0.48,0.7884988,0.7727636,0.7783587,0.7338731
hallway,corridor,N,9.28,4.74,4.72,3,2.7,1,0.76,0,0,0,0
way,manner,N,7.62,2.34,1.62,1,2.56,1,0.44,0.6200441,0.6363915,0.55825657,0.6214313
mouse,cat,N,1.12,4.83,4.86,4,2.56,1,1.02,0.4888859,0.34306645,0.47554058,0.3181568
cop,sheriff,N,9.05,4.3,4.5,3,2.54,1,1.55,0.4738906,0.3026273,0.37814736,0.35422465
death,burial,N,4.93,3.73,3.93,3,2.46,1,1.88,0.29340735,0.3557458,0.22847529,0.34725952
music,melody,N,6.98,4.31,3.71,3,2.43,1,1.36,0.6156482,0.6451678,0.54704887,0.60820866
beer,alcohol,N,7.5,4.88,4.76,4,2.4,1,1.07,0.57535475,0.61423,0.5649439,0.6379533
mouth,lip,N,7.1,4.74,4.96,4,2.28,1,1.4,0.5833671,0.5888641,0.5096299,0.6071926
storm,hurricane,N,6.38,4.7,4.59,3,2.27,1,0.9,0.5929122,0.6705362,0.5706419,0.6318105
tax,income,N,2.38,3.89,3.07,2,2.25,1,1.15,0.6959115,0.72516996,0.67796904,0.70247966
flower,violet,N,6.95,5,4.48,4,2.22,1,1.72,0.5898254,0.5991602,0.55922294,0.5801127
paper,cardboard,N,5.38,4.93,4.9,4,2.2,1,1.22,0.4822977,0.4943344,0.42860568,0.40106055
floor,ceiling,N,1.73,4.8,4.85,4,2.18,1,0.97,0.62020904,0.7071514,0.6137922,0.6783963
beach,seashore,N,8.33,4.79,4.63,3,2.15,1,0.47,0.55635285,0.49539784,0.5584508,0.47839662
rod,curtain,N,3.03,4.43,4.82,3,2.13,1,0.39,0.78976923,0.6225279,0.73118645,0.66304034
hound,fox,N,2.38,4.48,4.97,3,2.13,1,1.36,0.59342825,0.57160145,0.5898222,0.51536256
street,alley,N,5.48,4.75,4.82,4,2.07,1,1.62,0.37175277,0.43954587,0.29628223,0.44482335
boat,deck,N,4.28,4.93,4.77,4,2.04,1,1.39,0.6646139,0.65686214,0.6657377,0.6636927
car,horn,N,2.57,4.89,5,4,2.04,1,0.79,0.34930387,0.25616497,0.3365879,0.25853714
friend,guest,N,4.25,3.07,3.83,2,1.97,1,1.41,0.4046585,0.4180097,0.4318429,0.4048413
employer,employee,N,3.65,3.81,4.1,3,1.96,1,0.95,0.67795426,0.68049616,0.66402984,0.6814608
hand,wrist,N,3.97,4.72,4.93,4,1.96,1,1.32,0.44394556,0.46607125,0.49483836,0.44972622
ball,cannon,N,2.58,5,4.79,4,1.96,1,1.82,0.6244691,0.42265165,0.5763621,0.3732957
alcohol,brandy,N,6.98,4.76,4.81,4,1.93,1,0.57,0.48175377,0.5129377,0.4639456,0.49152026
victory,triumph,N,8.98,2.55,2.17,1,1.9,1,0.94,0.7695411,0.73498243,0.7304553,0.7179519
telephone,booth,N,3.63,4.96,4.42,3,1.88,1,1.1,0.5071618,0.39009148,0.4910276,0.39144522
door,doorway,N,5.4,4.81,4.75,4,1.88,1,1.86,0.57285774,0.5981772,0.5757844,0.563299
motel,inn,N,8.17,4.93,4.64,4,1.86,1,0.39,0.4208241,0.49685764,0.52891713,0.5378339
clothes,cloth,N,5.47,4.76,4.9,4,1.82,1,1.43,0.72259337,0.74195313,0.6938157,0.7004471
steak,meat,N,7.47,4.96,4.9,4,1.81,1,1.34,0.52028483,0.6561408,0.55289006,0.7056489
nail,thumb,N,3.55,4.93,4.96,4,1.76,1,1.16,0.5154218,0.61274415,0.45864832,0.55076826
band,orchestra,N,7.08,4.68,4.79,4,1.75,1,1.36,0.5411297,0.5563603,0.5174378,0.53692997
book,bible,N,5,4.9,4.61,4,1.74,1,1.43,0.39657435,0.43082651,0.43657106,0.42315194
business,industry,N,7.02,3.28,3.29,2,1.73,1,1.1,0.5593273,0.6256608,0.55840105,0.6030775
winter,season,N,6.27,3.84,3.32,2,1.71,1,1.76,0.6101985,0.5394745,0.6088286,0.5281127
decade,century,N,3.48,3.19,2.83,2,1.64,1,1.36,0.5329175,0.3934099,0.49821323,0.3641889
alcohol,gin,N,8.65,4.76,4.46,3,1.64,1,1.17,0.35977495,0.44161382,0.43044534,0.4493418
hat,coat,N,2.67,4.88,4.97,4,1.62,1,1.76,0.6879525,0.6785045,0.6873653,0.6522671
window,door,N,3.33,4.86,4.81,4,1.56,1,1.6,0.80381703,0.8306242,0.7675578,0.74442613
arm,wrist,N,3.57,4.96,4.93,4,1.55,1,1.33,0.6148911,0.7114217,0.64063567,0.673823
house,apartment,N,5.8,5,4.9,4,1.54,1,1.4,0.6199877,0.6805504,0.5858567,0.66264033
glass,crystal,N,6.27,4.82,4.58,3,1.52,1,1.48,0.64954674,0.6572635,0.6147515,0.65832716
wine,brandy,N,5.15,4.79,4.81,4,1.52,1,1.67,0.565677,0.72437364,0.54366726,0.6653385
creator,maker,N,9.62,3.07,3.9,2,1.51,1,1.4,0.41758382,0.4661352,0.4553984,0.32792833
dinner,breakfast,N,3.33,4.5,4.43,3,1.49,1,1.72,0.6356474,0.59128004,0.6511738,0.560325
arm,muscle,N,3.72,4.96,4.5,3,1.45,1,0.83,0.2845597,0.3537675,0.2554784,0.3708839
bubble,suds,N,8.57,4.6,4.59,3,1.42,1,1.59,0,0,0,0
bread,flour,N,3.33,4.92,4.97,4,1.42,1,1.25,0.75910914,0.777986,0.7714547,0.74628276
death,tragedy,N,5.8,3.73,2.07,2,1.41,1,1.13,0.47553942,0.409175,0.43784985,0.3988675
absence,presence,N,0.4,2.31,2.72,1,1.38,1,1.5,0.69069356,0.681711,0.6738646,0.64040667
gun,cannon,N,5.68,4.83,4.79,4,1.35,1,1.56,0.77375776,0.80257714,0.7487835,0.7849142
grass,blade,N,4.57,4.93,4.93,4,1.34,1,1.53,0.6098339,0.6711894,0.6246965,0.58766794
ball,basket,N,1.67,5,5,4,1.33,1,1.08,0.64159137,0.73041815,0.6310158,0.6404271
hose,garden,N,1.67,4.87,4.73,4,1.32,1,1.1,0.39335644,0.26875088,0.3351103,0.27299014
boy,kid,N,7.5,4.76,4.56,3,1.28,1,1.44,0.5553467,0.68105394,0.62658334,0.62415904
church,choir,N,2.95,4.9,4.34,3,1.27,1,1.43,0.3829667,0.42403817,0.34171274,0.40552422
clothes,drawer,N,3.02,4.76,4.67,3,1.27,1,1.49,0.27034247,0.43029383,0.37690637,0.27323502
tower,bell,N,1.9,4.76,4.96,4,1.22,1,1.41,0.56524116,0.5063369,0.53416926,0.50519574
father,parent,N,7.07,4.52,4.56,3,1.19,1,1.06,0.29244602,0.31088868,0.25245196,0.26814416
school,grade,N,4.42,4.79,3,3,1.18,1,1.32,0.39889184,0.5728045,0.37644258,0.5549051
parent,adult,N,5.37,4.56,4.4,3,1.15,1,1.6,0.38450965,0.34712726,0.37656534,0.3311088
bar,jail,N,1.9,4.67,4.83,4,1.15,1,1.12,0.3970081,0.2759835,0.37421682,0.2705762
car,highway,N,3.4,4.89,4.72,4,1.15,1,1.77,0.4610922,0.40991879,0.43896526,0.3968871
dictionary,definition,N,6.25,4.62,3.07,3,1.14,1,1.06,0.52537614,0.50519204,0.5464439,0.49724537
door,cellar,N,1.97,4.81,4.68,4,1.13,1,1.47,0.5820862,0.57580656,0.55466646,0.5898582
army,legion,N,5.95,4.7,2.69,2,1.11,1,1.29,0.46522987,0.6431446,0.4834903,0.5384862
metal,aluminum,N,7.25,4.87,4.88,4,1.1,1,1.76,0.613049,0.6747991,0.5880863,0.6244216
chair,bench,N,6.67,4.58,4.87,3,1.09,1,1.22,0.5209113,0.51722383,0.55528176,0.4189611
cloud,fog,N,6,4.54,4.66,3,1.05,1,1.04,0.70420426,0.60679746,0.7367121,0.6103633
boy,son,N,6.75,4.76,4.14,3,1.03,1,0.88,0.46090278,0.5150322,0.47277275,0.5080772
water,ice,N,6.47,5,4.89,4,1.03,1,1.66,0.49977228,0.54189914,0.46886054,0.5644038
bed,blanket,N,3.02,5,5,4,1.02,1,1.48,0.4524869,0.40102094,0.48584163,0.55657744
attorney,lawyer,N,9.35,4.52,4.7,3,1.01,1,1.4,0.7093015,0.7803021,0.6665444,0.81237936
area,zone,N,8.33,3.72,3.07,2,0.97,1,0.89,0.5610762,0.6163863,0.5481489,0.6178317
business,company,N,9.02,3.28,4.11,3,0.97,1,0.47,0.60053176,0.67132354,0.53357905,0.6410407
clothes,fabric,N,5.87,4.76,4.63,3,0.96,1,1.66,0.46457642,0.4498209,0.46402305,0.40974823
sweater,jacket,N,7.15,4.78,4.86,4,0.96,1,1.13,0.5703439,0.38259178,0.6405424,0.44426402
money,capital,N,6.67,4.54,4.1,3,0.95,1,0.97,0.41802752,0.32480308,0.38567242,0.31523046
hand,foot,N,4.17,4.72,4.9,4,0.95,1,1.41,0.5799385,0.5512011,0.58093303,0.5501575
alcohol,cocktail,N,6.73,4.76,4.4,3,0.93,1,1.2,0.09388356,0.20634075,0.09063006,0.232013
yard,inch,N,3.78,4.82,4.37,3,0.93,1,1.4,0.6061223,0.53020877,0.5811004,0.542028
molecule,atom,N,6.45,3.27,3.34,2,0.92,1,1.56,0.8710247,0.8852527,0.84925836,0.8594601
lens,camera,N,4.28,4.64,5,4,0.9,1,1.89,0.67546946,0.722142,0.671388,0.6514944
meal,dinner,N,7.15,4.62,4.5,3,0.88,1,2,0.49650547,0.5304242,0.4286747,0.47238636
